市,年份,供地面积_公顷,成交价格_万元,平均价格_万元每公顷,制造业_总面积,制造业_总价值,制造业_平均价格,制造业_占比,房地产业_总面积,房地产业_总价值,房地产业_平均价格,房地产业_占比,高科技产业_总面积,高科技产业_总价值,高科技产业_平均价格,高科技产业_占比,生产性服务业_总面积,生产性服务业_总价值,生产性服务业_平均价格,生产性服务业_占比,消费性服务业_总面积,消费性服务业_总价值,消费性服务业_平均价格,消费性服务业_占比,第二产业_总面积,第二产业_总价值,第二产业_平均价格,第二产业_占比,第三产业_总面积,第三产业_总价值,第三产业_平均价格,第三产业_占比,土地来源_新增建设用地,土地来源_新增建设用地(来自存量库),土地来源_现有建设用地,供地方式_作价出资或入股,供地方式_划拨,供地方式_协议出让,供地方式_拍卖出让,供地方式_招标出让,供地方式_挂牌出让,供地方式_授权经营,供地方式_租赁,供地方式_价格_划拨,供地方式_价格_挂牌出让,供地方式_价格_拍卖出让,供地方式_价格_协议出让,供地方式_价格_租赁,供地方式_价格_招标出让,供地方式_价格_作价出资或入股,供地方式_价格_授权经营,供地方式_价格_nan
秦皇岛,2009,99.3927,16671.911799999998,167.74,30.248399999999997,3872.2792,128.02,0.3043,7.036499999999999,2792.0496000000003,396.8,0.0708,0.0,0.0,0.0,0.0,9.2412,1247.58,135.0,0.093,37.601299999999995,5121.6005,136.21,0.3783,38.021699999999996,5208.6589,136.99,0.3825,61.370999999999995,11463.252900000001,186.79,0.6175,54.8714,10.1525,34.3688,0.0,45.9837,38.7624,0.0,0.0,14.6466,0.0,0.0,154.26341725437493,155.43388909371458,0.0,188.37149144531816,0.0,0.0,0.0,0.0,0.0
秦皇岛,2010,96.4611,28514.1172,295.6,65.6789,9846.422999999999,149.92,0.6809,12.1086,10623.548,877.36,0.1255,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.8502,4422.6031,1551.68,0.0295,70.38900000000001,10496.403,149.12,0.7297,23.657999999999998,17200.861899999996,727.06,0.2453,64.3948,9.2332,22.8331,0.0,12.9934,66.7954,0.7258,0.0,15.9465,0.0,0.0,212.9772268998107,416.8760793904618,186.00165334802975,283.91333085811294,0.0,0.0,0.0,0.0,0.0
秦皇岛,2011,133.7276,51102.3204,382.14,0.0,0.0,0.0,0.0,59.4979,20157.9262,338.8,0.4449,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34.109700000000004,23563.104000000003,690.8,0.2551,1.0977999999999999,1049.6245,956.12,0.0082,116.6472,48750.5531,417.93,0.8723,54.971,52.3178,26.4388,0.0,80.105,21.4716,0.0,0.0,32.151,0.0,0.0,159.24770988078146,933.7812198687443,0.0,387.6647571676075,0.0,0.0,0.0,0.0,0.0
秦皇岛,2012,120.96170000000001,55246.9209,456.73,4.4543,1010.5916,226.88,0.0368,40.6244,27347.8399,673.19,0.3358,0.3233,121.7149,376.48,0.0027,36.971199999999996,11431.956400000003,309.21,0.3056,5.9692,3226.306,540.49,0.0493,28.893500000000003,11537.804199999999,399.32,0.2389,85.59320000000002,42174.8887,492.74,0.7076,85.8801,15.0322,20.049400000000002,0.0,18.8626,27.1906,0.0,0.0,74.9085,0.0,0.0,227.68342116145175,513.2995587950633,0.0,459.7809390009783,0.0,0.0,0.0,0.0,0.0
秦皇岛,2013,1391.2099,156142.3942,112.23,63.727900000000005,19284.7064,302.61,0.0458,86.0579,73468.9293,853.72,0.0619,3.0011,336.414,112.1,0.0022,498.3232,5075.806,10.19,0.3582,168.6301,11449.8811,67.9,0.1212,110.01150000000001,33515.984599999996,304.66,0.0791,1270.9728999999998,121105.69140000001,95.29,0.9136,1286.3205,70.9106,33.9788,0.0,1184.1615,15.0022,0.0,0.0,192.0462,0.0,0.0,31.337569157585346,528.6129410527259,0.0,1167.531742011172,0.0,0.0,0.0,0.0,0.0
秦皇岛,2014,159.1185,57241.6858,359.74,19.1876,5931.7477,309.14,0.1206,43.9336,39912.1478,908.47,0.2761,1.2615,567.6,449.94,0.0079,15.2409,4269.5394,280.14,0.0958,13.3059,3248.3219,244.13,0.0836,20.6544,6348.7477,307.38,0.1298,132.3003,48975.609099999994,370.19,0.8315,132.4743,10.4617,16.1825,0.0,80.8178,4.9012,0.0,0.0,73.3995,0.0,0.0,0.3876497504262675,749.7226983835039,0.0,445.01052803395083,0.0,0.0,0.0,0.0,0.0
秦皇岛,2015,66.1762,37480.5362,566.37,17.9428,0.0,0.0,0.2711,26.1216,0.0,0.0,0.3947,0.0,0.0,0.0,0.0,0.44,0.0,0.0,0.0066,16.4574,0.0,0.0,0.2487,17.9428,0.0,0.0,0.2711,46.9264,0.0,0.0,0.7091,49.7312,0.0,16.445,0.0,25.6712,5.09,0.0,0.0,35.415,0.0,0.0,221.85605269718596,751.1059889877171,0.0,1018.6260314341846,0.0,0.0,0.0,0.0,0.0
秦皇岛,2016,360.1128,89169.6214,247.62,3.9356,1017.7292,258.6,0.0109,60.8017,80898.1106,1330.52,0.1688,0.0,0.0,0.0,0.0,233.4798,1349.5394000000001,5.78,0.6484,23.146,5114.9566,220.99,0.0643,3.9356,1017.7292,258.6,0.0109,353.0999,87538.73550000001,247.91,0.9805,319.9726,23.5381,16.6021,0.0,297.8955,2.0717,0.0,0.0,60.1456,0.0,0.0,5.730001963775887,1440.292924170679,0.0,403.242506154366,0.0,0.0,0.0,0.0,0.0
秦皇岛,2017,265.6688,241283.7266,908.21,3.601,1173.712,325.94,0.0136,97.94930000000001,227326.2264,2320.86,0.3687,1.4569,0.0,0.0,0.0055,6.4244,2682.054,417.48,0.0242,20.3797,3253.1783,159.63,0.0767,6.562,4489.342,684.14,0.0247,257.0788,233699.9744,909.06,0.9677,228.6472,31.661,5.3606,0.0,162.9918,3.8249,0.0,0.0,98.85210000000001,0.0,0.0,38.53170834360993,2355.2404389992726,0.0,570.7105283798269,0.0,0.0,0.0,0.0,0.0
秦皇岛,2018,554.4264000000001,207360.8405,374.01,17.7725,6715.3163,377.85,0.0321,122.2126,147165.6921,1204.18,0.2204,0.0,0.0,0.0,0.0,29.1355,1073.2659,36.84,0.0526,57.605199999999996,5029.8733,87.32,0.1039,28.9,10039.5563,347.39,0.0521,488.4958,157511.19129999998,322.44,0.8811,534.6336,10.9429,8.8499,0.0,412.4081,6.4364,0.0,0.0,135.5819,0.0,0.0,6.607071975550432,1465.5409394616834,0.0,922.1312224224722,0.0,0.0,0.0,0.0,0.0
